Материал,Качество,Название материала,Бердо,Плотность по утку,Склад,Завод,Вид движения,Партия,Количество,Базовая ЕИ,Дата проводки,Время ввода,Имя пользователя,Описание палитры,Вес план,Вес факт,Заказ,Номер линии,Номер станка
AH3203_CT13_021,AH,ALADDIN NEW 3203 CT13 250X350 R,32,400,7510,XIVA,101,52825,70.0,М2,2025-10-30,00:27:10,STOREKEEPER3,ALADDIN NEW,13.78,0,100001278143,22,T22
AH3203_CT13_022,AH,ALADDIN NEW 3203 CT13 250X400 R,32,400,7510,XIVA,101,52825,60.0,М2,2025-10-30,00:27:26,STOREKEEPER3,ALADDIN NEW,15.75,0,100001278144,22,T22
AH3203_CT13_024,AH,ALADDIN NEW 3203 CT13 250X500 R,32,400,7510,XIVA,101,52825,25.0,М2,2025-10-30,00:27:39,STOREKEEPER3,ALADDIN NEW,19.69,0,100001278145,22,T22
AH3203_CT13_028,AH,ALADDIN NEW 3203 CT13 200X300 R,32,400,7510,XIVA,101,52823,48.0,М2,2025-10-30,00:27:07,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278120,22,T22
AH3203_CT13_030,AH,ALADDIN NEW 3203 CT13 200X400 R,32,400,7510,XIVA,101,52823,16.0,М2,2025-10-30,00:27:23,STOREKEEPER3,ALADDIN NEW,12.6,0,100001278121,22,T22
AH3203_CT13_034,AH,ALADDIN NEW 3203 CT13 150X230 R,32,400,7510,XIVA,101,52823,20.7,М2,2025-10-30,00:27:51,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278123,22,T22
AH3203_CT23_008,AH,ALADDIN NEW 3203 CT23 350X400 R,32,400,7510,XIVA,101,52617,28.0,М2,2025-10-25,04:42:21,STOREKEEPER3,ALADDIN NEW,22.05,0,100001276465,22,T22
AH3203_CT23_009,AH,ALADDIN NEW 3203 CT23 350X500 R,32,400,7510,XIVA,101,52617,35.0,М2,2025-10-25,04:42:37,STOREKEEPER3,ALADDIN NEW,27.57,0,100001276466,22,T22
AH3203_CT23_010,AH,ALADDIN NEW 3203 CT23 350X600 R,32,400,7510,XIVA,101,52617,42.0,М2,2025-10-25,04:42:52,STOREKEEPER3,ALADDIN NEW,33.08,0,100001276467,22,T22
AH3203_CT23_011,AH,ALADDIN NEW 3203 CT23 350X700 R,32,400,7510,XIVA,101,52617,49.0,М2,2025-10-25,04:43:07,STOREKEEPER3,ALADDIN NEW,38.59,0,100001276468,22,T22
AH3203_CT23_012,AH,ALADDIN NEW 3203 CT23 350X800 R,32,400,7510,XIVA,101,52617,56.0,М2,2025-10-25,04:43:25,STOREKEEPER3,ALADDIN NEW,44.11,0,100001276469,22,T22
AH3203_CT23_021,AH,ALADDIN NEW 3203 CT23 250X350 R,32,400,7510,XIVA,101,52825,70.0,М2,2025-10-30,00:27:54,STOREKEEPER3,ALADDIN NEW,13.78,0,100001278146,22,T22
AH3203_CT23_022,AH,ALADDIN NEW 3203 CT23 250X400 R,32,400,7510,XIVA,101,52825,60.0,М2,2025-10-30,00:28:10,STOREKEEPER3,ALADDIN NEW,15.75,0,100001278147,22,T22
AH3203_CT23_024,AH,ALADDIN NEW 3203 CT23 250X500 R,32,400,7510,XIVA,101,52825,25.0,М2,2025-10-30,00:28:25,STOREKEEPER3,ALADDIN NEW,19.69,0,100001278148,22,T22
AH3203_CT23_028,AH,ALADDIN NEW 3203 CT23 200X300 R,32,400,7510,XIVA,101,52823,48.0,М2,2025-10-30,00:27:36,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278122,22,T22
AH3203_CT23_030,AH,ALADDIN NEW 3203 CT23 200X400 R,32,400,7510,XIVA,101,52824,16.0,М2,2025-10-30,00:27:10,STOREKEEPER3,ALADDIN NEW,12.6,0,100001278131,22,T22
AH3203_CT23_034,AH,ALADDIN NEW 3203 CT23 150X230 R,32,400,7510,XIVA,101,52823,20.7,М2,2025-10-30,00:28:07,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278124,22,T22
AH3203_CT33_008,AH,ALADDIN NEW 3203 CT33 350X400 R,32,400,7510,XIVA,101,52617,28.0,М2,2025-10-25,04:43:38,STOREKEEPER3,ALADDIN NEW,22.05,0,100001276470,22,T22
AH3203_CT33_009,AH,ALADDIN NEW 3203 CT33 350X500 R,32,400,7510,XIVA,101,52617,35.0,М2,2025-10-25,04:43:54,STOREKEEPER3,ALADDIN NEW,27.57,0,100001276471,22,T22
AH3203_CT33_010,AH,ALADDIN NEW 3203 CT33 350X600 R,32,400,7510,XIVA,101,52617,42.0,М2,2025-10-25,04:44:09,STOREKEEPER3,ALADDIN NEW,33.08,0,100001276473,22,T22
AH3203_CT33_011,AH,ALADDIN NEW 3203 CT33 350X700 R,32,400,7510,XIVA,101,52618,49.0,М2,2025-10-26,15:24:38,STOREKEEPER3,ALADDIN NEW,38.59,0,100001276489,22,T22
AH3203_CT33_012,AH,ALADDIN NEW 3203 CT33 350X800 R,32,400,7510,XIVA,101,52618,56.0,М2,2025-10-26,15:25:08,STOREKEEPER3,ALADDIN NEW,44.11,0,100001276491,22,T22
AH3203_CT33_021,AH,ALADDIN NEW 3203 CT33 250X350 R,32,400,7510,XIVA,101,52825,17.5,М2,2025-10-30,00:28:40,STOREKEEPER3,ALADDIN NEW,13.78,0,100001278149,22,T22
AH3203_CT33_022,AH,ALADDIN NEW 3203 CT33 250X400 R,32,400,7510,XIVA,101,52825,20.0,М2,2025-10-30,00:28:54,STOREKEEPER3,ALADDIN NEW,15.75,0,100001278150,22,T22
AH3203_CT33_028,AH,ALADDIN NEW 3203 CT33 200X300 R,32,400,7510,XIVA,101,52824,48.0,М2,2025-10-30,00:27:26,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278132,22,T22
AH3203_CT33_034,AH,ALADDIN NEW 3203 CT33 150X230 R,32,400,7510,XIVA,101,52823,20.7,М2,2025-10-30,00:28:22,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278125,22,T22
AH3203_CT83_028,AH,ALADDIN NEW 3203 CT83 200X300 R,32,400,7510,XIVA,101,52824,48.0,М2,2025-10-30,00:27:42,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278133,22,T22
AH3203_CT83_034,AH,ALADDIN NEW 3203 CT83 150X230 R,32,400,7510,XIVA,101,52823,20.7,М2,2025-10-30,00:28:37,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278126,22,T22
AH3207_CT13_028,AH,ALADDIN NEW 3207 CT13 200X300 R,32,400,7510,XIVA,101,52824,24.0,М2,2025-10-30,00:27:57,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278134,22,T22
AH3207_CT13_028,AH,ALADDIN NEW 3207 CT13 200X300 R,32,400,7510,XIVA,101,52826,24.0,М2,2025-10-29,21:23:15,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278153,22,T22
AH3207_CT13_034,AH,ALADDIN NEW 3207 CT13 150X230 R,32,400,7510,XIVA,101,52824,20.7,М2,2025-10-30,00:28:43,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278137,22,T22
AH3207_CT33_008,AH,ALADDIN NEW 3207 CT33 350X400 R,32,400,7510,XIVA,101,52618,28.0,М2,2025-10-26,15:24:53,STOREKEEPER3,ALADDIN NEW,22.05,0,100001276490,22,T22
AH3207_CT33_009,AH,ALADDIN NEW 3207 CT33 350X500 R,32,400,7510,XIVA,101,52618,35.0,М2,2025-10-26,15:25:23,STOREKEEPER3,ALADDIN NEW,27.57,0,100001276492,22,T22
AH3207_CT33_010,AH,ALADDIN NEW 3207 CT33 350X600 R,32,400,7510,XIVA,101,52618,42.0,М2,2025-10-26,15:25:39,STOREKEEPER3,ALADDIN NEW,33.08,0,100001276493,22,T22
AH3207_CT33_011,AH,ALADDIN NEW 3207 CT33 350X700 R,32,400,7510,XIVA,101,52618,49.0,М2,2025-10-26,15:25:54,STOREKEEPER3,ALADDIN NEW,38.59,0,100001276494,22,T22
AH3207_CT33_012,AH,ALADDIN NEW 3207 CT33 350X800 R,32,400,7510,XIVA,101,52618,56.0,М2,2025-10-26,15:26:09,STOREKEEPER3,ALADDIN NEW,44.11,0,100001276495,22,T22
AH3207_CT33_028,AH,ALADDIN NEW 3207 CT33 200X300 R,32,400,7510,XIVA,101,52826,48.0,М2,2025-10-29,21:23:31,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278154,22,T22
AH3207_CT33_030,AH,ALADDIN NEW 3207 CT33 200X400 R,32,400,7510,XIVA,101,52824,16.0,М2,2025-10-30,00:28:13,STOREKEEPER3,ALADDIN NEW,12.6,0,100001278135,22,T22
AH3207_CT33_034,AH,ALADDIN NEW 3207 CT33 150X230 R,32,400,7510,XIVA,101,52824,20.7,М2,2025-10-30,00:28:57,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278138,22,T22
AH3207_CT73_028,AH,ALADDIN NEW 3207 CT73 200X300 R,32,400,7510,XIVA,101,52826,48.0,М2,2025-10-29,21:23:46,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278155,22,T22
AH3207_CT73_030,AH,ALADDIN NEW 3207 CT73 200X400 R,32,400,7510,XIVA,101,52824,16.0,М2,2025-10-30,00:28:28,STOREKEEPER3,ALADDIN NEW,12.6,0,100001278136,22,T22
AH3207_CT73_034,AH,ALADDIN NEW 3207 CT73 150X230 R,32,400,7510,XIVA,101,52824,20.7,М2,2025-10-30,00:29:13,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278139,22,T22
AH3207_CT83_008,AH,ALADDIN NEW 3207 CT83 350X400 R,32,400,7510,XIVA,101,52619,28.0,М2,2025-10-26,15:24:28,STOREKEEPER3,ALADDIN NEW,22.05,0,100001276496,22,T22
AH3207_CT83_009,AH,ALADDIN NEW 3207 CT83 350X500 R,32,400,7510,XIVA,101,52619,35.0,М2,2025-10-26,15:24:43,STOREKEEPER3,ALADDIN NEW,27.57,0,100001276497,22,T22
AH3207_CT83_010,AH,ALADDIN NEW 3207 CT83 350X600 R,32,400,7510,XIVA,101,52619,42.0,М2,2025-10-26,15:24:58,STOREKEEPER3,ALADDIN NEW,33.08,0,100001276498,22,T22
AH3207_CT83_011,AH,ALADDIN NEW 3207 CT83 350X700 R,32,400,7510,XIVA,101,52619,49.0,М2,2025-10-26,15:25:14,STOREKEEPER3,ALADDIN NEW,38.59,0,100001276499,22,T22
AH3207_CT83_012,AH,ALADDIN NEW 3207 CT83 350X800 R,32,400,7510,XIVA,101,52619,56.0,М2,2025-10-26,15:25:30,STOREKEEPER3,ALADDIN NEW,44.11,0,100001276500,22,T22
AH3207_CT83_028,AH,ALADDIN NEW 3207 CT83 200X300 R,32,400,7510,XIVA,101,52826,24.0,М2,2025-10-29,21:24:01,STOREKEEPER3,ALADDIN NEW,9.45,0,100001278156,22,T22
AH3207_CT83_034,AH,ALADDIN NEW 3207 CT83 150X230 R,32,400,7510,XIVA,101,52824,20.7,М2,2025-10-30,00:29:28,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278140,22,T22
AH3207_CT83_677,AH,ALADDIN NEW 3207 CT83 100X3500 R,32,400,7510,XIVA,101,52825,71.4,М2,2025-10-30,00:29:10,STOREKEEPER3,ALADDIN NEW,56.19,0,100001278151,22,T22
AH3207_CT83_678,AH,ALADDIN NEW 3207 CT83 120X3500 R,32,400,7510,XIVA,101,52826,85.68,М2,2025-10-29,21:24:16,STOREKEEPER3,ALADDIN NEW,67.45,0,100001278157,22,T22
AH3207_CT83_679,AH,ALADDIN NEW 3207 CT83 150X3500 R,32,400,7510,XIVA,101,52702,108.702,М2,2025-10-26,15:24:23,STOREKEEPER3,ALADDIN NEW,85.59,0,100001277151,22,T22
AH3207_CT83_680,AH,ALADDIN NEW 3207 CT83 200X3500 R,32,400,7510,XIVA,101,52702,145.2,М2,2025-10-26,15:24:07,STOREKEEPER3,ALADDIN NEW,114.35,0,100001277150,22,T22
AH3208_CT23_034,AH,ALADDIN NEW 3208 CT23 150X230 R,32,400,7510,XIVA,101,52824,20.7,М2,2025-10-30,00:29:42,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278141,22,T22
AH3208_CT23_677,AH,ALADDIN NEW 3208 CT23 100X3500 R,32,400,7510,XIVA,101,52825,71.25,М2,2025-10-30,00:29:25,STOREKEEPER3,ALADDIN NEW,56.08,0,100001278152,22,T22
AH3208_CT23_679,AH,ALADDIN NEW 3208 CT23 150X3500 R,32,400,7510,XIVA,101,52704,105.446,М2,2025-10-30,00:27:20,STOREKEEPER3,ALADDIN NEW,83.02,0,100001277153,22,T22
AH3208_CT23_680,AH,ALADDIN NEW 3208 CT23 200X3500 R,32,400,7510,XIVA,101,52704,143.254,М2,2025-10-30,00:27:04,STOREKEEPER3,ALADDIN NEW,112.81,0,100001277152,22,T22
AH3208_CT83_008,AH,ALADDIN NEW 3208 CT83 350X400 R,32,400,7510,XIVA,101,52620,28.0,М2,2025-10-26,15:24:18,STOREKEEPER3,ALADDIN NEW,22.05,0,100001276501,22,T22
AH3208_CT83_009,AH,ALADDIN NEW 3208 CT83 350X500 R,32,400,7510,XIVA,101,52620,35.0,М2,2025-10-26,15:24:33,STOREKEEPER3,ALADDIN NEW,27.57,0,100001276502,22,T22
AH3208_CT83_010,AH,ALADDIN NEW 3208 CT83 350X600 R,32,400,7510,XIVA,101,52620,42.0,М2,2025-10-26,15:24:48,STOREKEEPER3,ALADDIN NEW,33.08,0,100001276503,22,T22
AH3208_CT83_011,AH,ALADDIN NEW 3208 CT83 350X700 R,32,400,7510,XIVA,101,52620,49.0,М2,2025-10-26,15:25:04,STOREKEEPER3,ALADDIN NEW,38.6,0,100001276504,22,T22
AH3208_CT83_012,AH,ALADDIN NEW 3208 CT83 350X800 R,32,400,7510,XIVA,101,52620,56.0,М2,2025-10-26,15:25:19,STOREKEEPER3,ALADDIN NEW,44.11,0,100001276505,22,T22
AH3208_CT83_034,AH,ALADDIN NEW 3208 CT83 150X230 R,32,400,7510,XIVA,101,52824,20.7,М2,2025-10-30,00:29:57,STOREKEEPER3,ALADDIN NEW,5.43,0,100001278142,22,T22
AH3234_CT22_I27,AH,ALADDIN NEW 3234 CT22 350X3500 R,32,400,7510,XIVA,101,52379,246.286,М2,2025-10-21,09:10:28,STOREKEEPER3,ALADDIN NEW,194.0,0,100001274580,22,T22
DU0002_CL73_IN8,DU,ZARA 0002 CL73 200X2050 R,32,380,7510,XIVA,101,51052,82.0,М2,2025-10-04,21:35:02,STOREKEEPER3,ZARA,59.58,0,100001263387,21,T21
DU0002_CL77_775,DU,ZARA 0002 CL77 500X1850 R,32,380,7510,XIVA,101,51053,191.45,М2,2025-10-04,05:37:09,STOREKEEPER3,ZARA,139.2,0,100001263388,21,T21
DU0002_CL77_J64,DU,ZARA 0002 CL77 500X2700 R,32,380,7510,XIVA,101,51054,280.79,М2,2025-10-04,05:37:15,STOREKEEPER3,ZARA,204.15,0,100001263389,21,T21
DU0032_CL77_C23,DU,ZARA 0032 CL77 120X2000 R,32,380,7510,XIVA,101,50820,48.0,М2,2025-10-02,19:48:26,STOREKEEPER3,ZARA,34.86,0,100001261358,21,T21
DU0032_CL77_C23,DU,ZARA 0032 CL77 120X2000 R,32,380,7510,XIVA,101,50802,48.0,М2,2025-10-01,03:53:59,STOREKEEPER3,ZARA,34.86,0,100001261173,23,T23
DU0032_CL77_C23,DU,ZARA 0032 CL77 120X2000 R,32,380,7510,XIVA,101,50802,48.0,М2,2025-10-01,03:54:14,STOREKEEPER3,ZARA,34.86,0,100001261175,23,T23
DU0032_CL77_C23,DU,ZARA 0032 CL77 120X2000 R,32,380,7510,XIVA,101,50803,48.0,М2,2025-10-01,14:50:06,STOREKEEPER3,ZARA,34.86,0,100001261187,23,T23
DU0032_CL77_C23,DU,ZARA 0032 CL77 120X2000 R,32,380,7510,XIVA,101,50803,48.0,М2,2025-10-01,14:49:51,STOREKEEPER3,ZARA,34.86,0,100001261186,23,T23
DU0032_CL77_C23,DU,ZARA 0032 CL77 120X2000 R,32,380,7510,XIVA,101,50802,48.0,М2,2025-10-01,03:54:29,STOREKEEPER3,ZARA,34.86,0,100001261178,23,T23
DU0032_CL77_C23,DU,ZARA 0032 CL77 120X2000 R,32,380,7510,XIVA,101,50803,48.0,М2,2025-10-01,14:49:36,STOREKEEPER3,ZARA,34.86,0,100001261185,23,T23
DU1981_CL33_676,DU,ZARA 1981 CL33 80X3500 R,32,380,7510,XIVA,101,52292,56.014,М2,2025-10-20,08:14:27,STOREKEEPER3,ZARA,40.67,0,100001273820,21,T21
DU1981_CL33_676,DU,ZARA 1981 CL33 80X3500 R,32,380,7510,XIVA,101,50923,56.014,М2,2025-10-03,14:53:29,STOREKEEPER3,ZARA,40.67,0,100001262109,21,T21
DU1981_CL33_676,DU,ZARA 1981 CL33 80X3500 R,32,380,7510,XIVA,101,50923,56.014,М2,2025-10-03,14:53:44,STOREKEEPER3,ZARA,40.67,0,100001262111,21,T21
DU1981_CL33_677,DU,ZARA 1981 CL33 100X3500 R,32,380,7510,XIVA,101,52474,71.524,М2,2025-10-22,10:13:02,STOREKEEPER3,ZARA,51.95,0,100001275362,21,T21
DU1981_CL33_677,DU,ZARA 1981 CL33 100X3500 R,32,380,7510,XIVA,101,50884,71.524,М2,2025-10-03,00:26:25,STOREKEEPER3,ZARA,51.92,0,100001261801,23,T23
DU1981_CL33_677,DU,ZARA 1981 CL33 100X3500 R,32,380,7510,XIVA,101,50884,71.488,М2,2025-10-03,00:26:41,STOREKEEPER3,ZARA,51.92,0,100001261800,23,T23
DU1981_CL33_677,DU,ZARA 1981 CL33 100X3500 R,32,380,7510,XIVA,101,50885,71.526,М2,2025-10-03,00:24:42,STOREKEEPER3,ZARA,51.95,0,100001261803,23,T23
DU1981_CL33_678,DU,ZARA 1981 CL33 120X3500 R,32,380,7510,XIVA,101,52292,85.828,М2,2025-10-20,08:14:12,STOREKEEPER3,ZARA,62.35,0,100001273818,21,T21
DU1981_CL33_678,DU,ZARA 1981 CL33 120X3500 R,32,380,7510,XIVA,101,50923,85.784,М2,2025-10-03,14:52:59,STOREKEEPER3,ZARA,62.35,0,100001262107,21,T21
DU1981_CL33_678,DU,ZARA 1981 CL33 120X3500 R,32,380,7510,XIVA,101,50923,85.828,М2,2025-10-03,14:53:14,STOREKEEPER3,ZARA,62.35,0,100001262108,21,T21
DU1981_CL33_678,DU,ZARA 1981 CL33 120X3500 R,32,380,7510,XIVA,101,50981,85.832,М2,2025-10-03,17:57:30,STOREKEEPER3,ZARA,62.35,0,100001262537,23,T23
DU1981_CL33_679,DU,ZARA 1981 CL33 150X3500 R,32,380,7510,XIVA,101,52291,105.762,М2,2025-10-20,08:14:34,STOREKEEPER3,ZARA,76.85,0,100001273763,21,T21
DU1981_CL33_680,DU,ZARA 1981 CL33 200X3500 R,32,380,7510,XIVA,101,52294,142.652,М2,2025-10-21,18:17:41,STOREKEEPER3,ZARA,103.66,0,100001273778,21,T21
DU1981_CL33_680,DU,ZARA 1981 CL33 200X3500 R,32,380,7510,XIVA,101,50982,142.656,М2,2025-10-03,17:57:18,STOREKEEPER3,ZARA,103.65,0,100001262538,23,T23
DU1981_CL33_680,DU,ZARA 1981 CL33 200X3500 R,32,380,7510,XIVA,101,50982,142.656,М2,2025-10-03,17:57:33,STOREKEEPER3,ZARA,103.65,0,100001262539,23,T23
DU1981_CL33_879,DU,ZARA 1981 CL33 250X3500 R,32,380,7510,XIVA,101,52290,182.37,М2,2025-10-19,13:54:16,STOREKEEPER3,ZARA,132.51,0,100001273752,21,T21
DU1981_CL33_879,DU,ZARA 1981 CL33 250X3500 R,32,380,7510,XIVA,101,50927,182.37,М2,2025-10-04,21:35:18,STOREKEEPER3,ZARA,132.51,0,100001262130,21,T21
DU4587_CL33_677,DU,ZARA 4587 CL33 100X3500 R,32,380,7510,XIVA,101,52037,71.048,М2,2025-10-18,00:31:00,STOREKEEPER3,ZARA,51.59,0,100001271623,23,T23
DU4587_CL33_677,DU,ZARA 4587 CL33 100X3500 R,32,380,7510,XIVA,101,51926,71.052,М2,2025-10-16,12:42:47,STOREKEEPER3,ZARA,51.59,0,100001270716,23,T23
DU4587_CL33_677,DU,ZARA 4587 CL33 100X3500 R,32,380,7510,XIVA,101,51925,71.05,М2,2025-10-16,12:43:06,STOREKEEPER3,ZARA,51.59,0,100001270713,23,T23
DU4587_CL33_677,DU,ZARA 4587 CL33 100X3500 R,32,380,7510,XIVA,101,51309,71.048,М2,2025-10-08,11:10:51,STOREKEEPER3,ZARA,51.59,0,100001265443,23,T23
DU4587_CL33_678,DU,ZARA 4587 CL33 120X3500 R,32,380,7510,XIVA,101,51389,85.258,М2,2025-10-09,17:41:52,STOREKEEPER3,ZARA,61.92,0,100001266242,21,T21
DU4587_CL33_679,DU,ZARA 4587 CL33 150X3500 R,32,380,7510,XIVA,101,51260,107.966,М2,2025-10-08,04:20:53,STOREKEEPER3,ZARA,78.41,0,100001264899,21,T21
DU4587_CL33_680,DU,ZARA 4587 CL33 200X3500 R,32,380,7510,XIVA,101,51928,143.808,М2,2025-10-17,09:02:00,STOREKEEPER3,ZARA,104.49,0,100001270722,23,T23
DU4587_CL33_680,DU,ZARA 4587 CL33 200X3500 R,32,380,7510,XIVA,101,51928,143.808,М2,2025-10-17,09:01:45,STOREKEEPER3,ZARA,104.49,0,100001270721,23,T23
DU4587_CL33_680,DU,ZARA 4587 CL33 200X3500 R,32,380,7510,XIVA,101,51319,143.808,М2,2025-10-09,01:35:16,STOREKEEPER3,ZARA,104.47,0,100001265492,21,T21
DU4587_CL33_879,DU,ZARA 4587 CL33 250X3500 R,32,380,7510,XIVA,101,52049,182.918,М2,2025-10-17,22:08:31,STOREKEEPER3,ZARA,132.92,0,100001271684,21,T21
DU4587_CL33_879,DU,ZARA 4587 CL33 250X3500 R,32,380,7510,XIVA,101,52049,182.918,М2,2025-10-17,22:08:16,STOREKEEPER3,ZARA,132.92,0,100001271683,21,T21
DU4587_CL33_879,DU,ZARA 4587 CL33 250X3500 R,32,380,7510,XIVA,101,52048,182.918,М2,2025-10-17,22:08:19,STOREKEEPER3,ZARA,132.89,0,100001271671,21,T21
DU4587_CL33_879,DU,ZARA 4587 CL33 250X3500 R,32,380,7510,XIVA,101,51197,182.918,М2,2025-10-07,11:41:37,STOREKEEPER3,ZARA,132.92,0,100001264503,21,T21
DU4587_CL63_006,DU,ZARA 4587 CL63 400X500 R,32,380,7510,XIVA,101,51195,80.0,М2,2025-10-07,11:41:37,STOREKEEPER3,ZARA,29.07,0,100001264491,21,T21
DU4587_CL63_008,DU,ZARA 4587 CL63 350X400 R,32,380,7510,XIVA,101,51230,56.0,М2,2025-10-07,11:41:15,STOREKEEPER3,ZARA,20.35,0,100001264680,21,T21
DU4587_CL63_009,DU,ZARA 4587 CL63 350X500 R,32,380,7510,XIVA,101,51230,35.0,М2,2025-10-07,11:41:32,STOREKEEPER3,ZARA,25.43,0,100001264685,21,T21
DU4587_CL63_010,DU,ZARA 4587 CL63 350X600 R,32,380,7510,XIVA,101,51230,84.0,М2,2025-10-07,11:41:48,STOREKEEPER3,ZARA,30.52,0,100001264689,21,T21
DU4587_CL63_015,DU,ZARA 4587 CL63 300X400 R,32,380,7510,XIVA,101,51229,24.0,М2,2025-10-06,16:21:06,STOREKEEPER3,ZARA,17.44,0,100001264664,21,T21
DU4587_CL63_016,DU,ZARA 4587 CL63 300X500 R,32,380,7510,XIVA,101,51229,60.0,М2,2025-10-06,16:21:24,STOREKEEPER3,ZARA,21.8,0,100001264666,21,T21
DU4587_CL63_021,DU,ZARA 4587 CL63 250X350 R,32,380,7510,XIVA,101,51196,17.5,М2,2025-10-07,11:41:29,STOREKEEPER3,ZARA,12.72,0,100001264496,21,T21
DU4587_CL63_022,DU,ZARA 4587 CL63 250X400 R,32,380,7510,XIVA,101,51196,20.0,М2,2025-10-07,11:41:45,STOREKEEPER3,ZARA,14.53,0,100001264497,21,T21
DU4587_CL63_024,DU,ZARA 4587 CL63 250X500 R,32,380,7510,XIVA,101,51196,25.0,М2,2025-10-07,11:42:00,STOREKEEPER3,ZARA,18.17,0,100001264498,21,T21
DU4587_CL63_028,DU,ZARA 4587 CL63 200X300 R,32,380,7510,XIVA,101,51194,12.0,М2,2025-10-06,16:22:34,STOREKEEPER3,ZARA,8.72,0,100001264489,21,T21
DU4587_CL63_103,DU,ZARA 4587 CL63 300X450 R,32,380,7510,XIVA,101,51229,27.0,М2,2025-10-06,16:21:36,STOREKEEPER3,ZARA,19.62,0,100001264668,21,T21
DU4587_CL63_676,DU,ZARA 4587 CL63 80X3500 R,32,380,7510,XIVA,101,50757,56.842,М2,2025-10-02,06:38:36,STOREKEEPER3,ZARA,41.26,0,100001260504,23,T23
DU4587_CL63_676,DU,ZARA 4587 CL63 80X3500 R,32,380,7510,XIVA,101,50705,56.842,М2,2025-10-01,03:54:56,STOREKEEPER3,ZARA,41.26,0,100001259915,23,T23
DU4587_CL63_677,DU,ZARA 4587 CL63 100X3500 R,32,380,7510,XIVA,101,51514,71.048,М2,2025-10-11,08:56:52,STOREKEEPER3,ZARA,51.59,0,100001267297,21,T21
DU4587_CL63_677,DU,ZARA 4587 CL63 100X3500 R,32,380,7510,XIVA,101,50789,71.052,М2,2025-10-01,22:12:37,STOREKEEPER3,ZARA,51.59,0,100001261001,8,T08
DU4587_CL63_677,DU,ZARA 4587 CL63 100X3500 R,32,380,7510,XIVA,101,50786,71.052,М2,2025-10-01,07:31:53,STOREKEEPER3,ZARA,51.59,0,100001260996,8,T08
DU4587_CL63_678,DU,ZARA 4587 CL63 120X3500 R,32,380,7510,XIVA,101,50732,85.262,М2,2025-10-01,18:35:45,STOREKEEPER3,ZARA,61.92,0,100001260364,21,T21
DU4587_CL63_678,DU,ZARA 4587 CL63 120X3500 R,32,380,7510,XIVA,101,50708,85.26,М2,2025-10-01,07:33:16,STOREKEEPER3,ZARA,61.92,0,100001259928,21,T21
DU4587_CL63_678,DU,ZARA 4587 CL63 120X3500 R,32,380,7510,XIVA,101,50733,85.262,М2,2025-10-01,07:33:12,STOREKEEPER3,ZARA,61.92,0,100001260369,21,T21
DU4587_CL63_680,DU,ZARA 4587 CL63 200X3500 R,32,380,7510,XIVA,101,50741,143.808,М2,2025-10-01,07:34:18,STOREKEEPER3,ZARA,104.47,0,100001260483,21,T21
DU4587_CL63_879,DU,ZARA 4587 CL63 250X3500 R,32,380,7510,XIVA,101,51512,182.918,М2,2025-10-10,16:13:41,STOREKEEPER3,ZARA,132.89,0,100001267289,21,T21
DU4587_CL73_677,DU,ZARA 4587 CL73 100X3500 R,32,380,7510,XIVA,101,52488,71.048,М2,2025-10-23,08:17:53,STOREKEEPER3,ZARA,51.59,0,100001275444,21,T21
DU4587_CL73_677,DU,ZARA 4587 CL73 100X3500 R,32,380,7510,XIVA,101,52108,71.052,М2,2025-10-18,21:02:25,STOREKEEPER3,ZARA,51.59,0,100001272321,23,T23
DU4587_CL73_677,DU,ZARA 4587 CL73 100X3500 R,32,380,7510,XIVA,101,52108,71.052,М2,2025-10-18,21:02:40,STOREKEEPER3,ZARA,51.59,0,100001272323,23,T23
DU4587_CL73_677,DU,ZARA 4587 CL73 100X3500 R,32,380,7510,XIVA,101,52040,71.05,М2,2025-10-18,00:30:42,STOREKEEPER3,ZARA,51.59,0,100001271631,23,T23
DU4587_CL73_677,DU,ZARA 4587 CL73 100X3500 R,32,380,7510,XIVA,101,51309,71.048,М2,2025-10-08,11:11:06,STOREKEEPER3,ZARA,51.59,0,100001265444,23,T23
DU4587_CL73_678,DU,ZARA 4587 CL73 120X3500 R,32,380,7510,XIVA,101,52293,85.258,М2,2025-10-20,16:54:44,STOREKEEPER3,ZARA,61.92,0,100001273825,21,T21
