Материал,Качество,Название материала,Бердо,Плотность по утку,Склад,Завод,Вид движения,Партия,Количество,Базовая ЕИ,Дата проводки,Время ввода,Имя пользователя,Описание палитры,Вес план,Вес факт,Заказ,Номер линии,Номер станка
MU8674_CL33_879,MU,MADONNA 8674 CL33 250X3500 R,32,240,7510,XIVA,101,51251,182.044,М2,2025-10-08,19:36:23,STOREKEEPER3,ZARA,102.45,0,100001264813,13,T13
MU8674_CL33_879,MU,MADONNA 8674 CL33 250X3500 R,32,240,7510,XIVA,101,51251,182.044,М2,2025-10-08,19:36:38,STOREKEEPER3,ZARA,102.45,0,100001264816,13,T13
MU8674_CL33_879,MU,MADONNA 8674 CL33 250X3500 R,32,240,7510,XIVA,101,51213,182.044,М2,2025-10-05,05:14:15,STOREKEEPER3,ZARA,102.45,0,100001264596,5,T05
MU8674_CL33_879,MU,MADONNA 8674 CL33 250X3500 R,32,240,7510,XIVA,101,51213,182.044,М2,2025-10-05,05:14:01,STOREKEEPER3,ZARA,102.45,0,100001264595,5,T05
MU8674_CL33_879,MU,MADONNA 8674 CL33 250X3500 R,32,240,7510,XIVA,101,50990,182.044,М2,2025-10-03,20:54:46,STOREKEEPER3,ZARA,102.45,0,100001262649,7,T07
MU8674_CL53_009,MU,MADONNA 8674 CL53 350X500 R,32,240,7510,XIVA,101,51423,35.0,М2,2025-10-10,10:02:07,STOREKEEPER3,ZARA,19.69,0,100001266688,5,T05
MU8674_CL53_010,MU,MADONNA 8674 CL53 350X600 R,32,240,7510,XIVA,101,51423,84.0,М2,2025-10-10,10:02:22,STOREKEEPER3,ZARA,23.63,0,100001266689,5,T05
MU8674_CL53_015,MU,MADONNA 8674 CL53 300X400 R,32,240,7510,XIVA,101,51459,48.0,М2,2025-10-12,16:03:03,STOREKEEPER3,ZARA,13.5,0,100001266863,3,T03
MU8674_CL53_016,MU,MADONNA 8674 CL53 300X500 R,32,240,7510,XIVA,101,51459,30.0,М2,2025-10-12,16:03:16,STOREKEEPER3,ZARA,16.88,0,100001266864,3,T03
MU8674_CL53_018,MU,MADONNA 8674 CL53 300X600 R,32,240,7510,XIVA,101,51459,72.0,М2,2025-10-12,16:03:31,STOREKEEPER3,ZARA,20.25,0,100001266866,3,T03
MU8674_CL63_008,MU,MADONNA 8674 CL63 350X400 R,32,240,7510,XIVA,101,50875,84.0,М2,2025-10-02,21:54:47,STOREKEEPER3,ZARA,15.75,0,100001261743,5,T05
MU8674_CL63_009,MU,MADONNA 8674 CL63 350X500 R,32,240,7510,XIVA,101,52881,105.0,М2,2025-10-28,09:18:51,STOREKEEPER3,ZARA,19.69,0,100001278443,5,T05
MU8674_CL63_009,MU,MADONNA 8674 CL63 350X500 R,32,240,7510,XIVA,101,52301,175.0,М2,2025-10-19,15:49:29,STOREKEEPER3,ZARA,19.69,0,100001273827,5,T05
MU8674_CL63_009,MU,MADONNA 8674 CL63 350X500 R,32,240,7510,XIVA,101,51770,140.0,М2,2025-10-12,15:34:37,STOREKEEPER3,ZARA,19.69,0,100001269314,7,T07
MU8674_CL63_009,MU,MADONNA 8674 CL63 350X500 R,32,240,7510,XIVA,101,51284,140.0,М2,2025-10-07,15:00:33,STOREKEEPER3,ZARA,19.69,0,100001265145,7,T07
MU8674_CL63_009,MU,MADONNA 8674 CL63 350X500 R,32,240,7510,XIVA,101,51061,35.0,М2,2025-10-04,10:10:58,STOREKEEPER3,ZARA,19.69,0,100001263417,5,T05
MU8674_CL63_010,MU,MADONNA 8674 CL63 350X600 R,32,240,7510,XIVA,101,52883,126.0,М2,2025-10-28,09:18:04,STOREKEEPER3,ZARA,23.63,0,100001278444,5,T05
MU8674_CL63_010,MU,MADONNA 8674 CL63 350X600 R,32,240,7510,XIVA,101,52302,210.0,М2,2025-10-19,15:49:26,STOREKEEPER3,ZARA,23.63,0,100001273829,5,T05
MU8674_CL63_010,MU,MADONNA 8674 CL63 350X600 R,32,240,7510,XIVA,101,51773,168.0,М2,2025-10-13,03:45:50,STOREKEEPER3,ZARA,23.63,0,100001269318,7,T07
MU8674_CL63_010,MU,MADONNA 8674 CL63 350X600 R,32,240,7510,XIVA,101,51287,294.0,М2,2025-10-07,01:29:41,STOREKEEPER3,ZARA,23.63,0,100001265152,5,T05
MU8674_CL63_010,MU,MADONNA 8674 CL63 350X600 R,32,240,7510,XIVA,101,51061,42.0,М2,2025-10-04,10:11:13,STOREKEEPER3,ZARA,23.63,0,100001263418,5,T05
MU8674_CL63_011,MU,MADONNA 8674 CL63 350X700 R,32,240,7510,XIVA,101,52883,147.0,М2,2025-10-28,09:18:19,STOREKEEPER3,ZARA,27.57,0,100001278445,5,T05
MU8674_CL63_011,MU,MADONNA 8674 CL63 350X700 R,32,240,7510,XIVA,101,52301,245.0,М2,2025-10-19,15:49:45,STOREKEEPER3,ZARA,27.57,0,100001273828,5,T05
MU8674_CL63_011,MU,MADONNA 8674 CL63 350X700 R,32,240,7510,XIVA,101,51773,196.0,М2,2025-10-13,03:46:06,STOREKEEPER3,ZARA,27.57,0,100001269320,7,T07
MU8674_CL63_011,MU,MADONNA 8674 CL63 350X700 R,32,240,7510,XIVA,101,51286,294.0,М2,2025-10-07,18:50:59,STOREKEEPER3,ZARA,27.57,0,100001265149,7,T07
MU8674_CL63_015,MU,MADONNA 8674 CL63 300X400 R,32,240,7510,XIVA,101,52570,144.0,М2,2025-10-25,06:33:47,STOREKEEPER3,ZARA,13.5,0,100001276149,2,T02
MU8674_CL63_015,MU,MADONNA 8674 CL63 300X400 R,32,240,7510,XIVA,101,52571,336.0,М2,2025-10-24,12:18:26,STOREKEEPER3,ZARA,13.5,0,100001276150,2,T02
MU8674_CL63_015,MU,MADONNA 8674 CL63 300X400 R,32,240,7510,XIVA,101,52222,48.0,М2,2025-10-21,06:38:21,STOREKEEPER3,ZARA,13.5,0,100001273227,3,T03
MU8674_CL63_015,MU,MADONNA 8674 CL63 300X400 R,32,240,7510,XIVA,101,52220,432.0,М2,2025-10-20,16:23:59,STOREKEEPER3,ZARA,13.5,0,100001273216,3,T03
MU8674_CL63_015,MU,MADONNA 8674 CL63 300X400 R,32,240,7510,XIVA,101,51650,312.0,М2,2025-10-13,10:35:32,STOREKEEPER3,ZARA,13.5,0,100001268496,3,T03
MU8674_CL63_015,MU,MADONNA 8674 CL63 300X400 R,32,240,7510,XIVA,101,51653,144.0,М2,2025-10-13,10:35:21,STOREKEEPER3,ZARA,13.5,0,100001268498,3,T03
MU8674_CL63_015,MU,MADONNA 8674 CL63 300X400 R,32,240,7510,XIVA,101,51568,24.0,М2,2025-10-12,17:44:51,STOREKEEPER3,ZARA,13.5,0,100001267832,3,T03
MU8674_CL63_015,MU,MADONNA 8674 CL63 300X400 R,32,240,7510,XIVA,101,51141,240.0,М2,2025-10-06,23:51:45,STOREKEEPER3,ZARA,13.5,0,100001263946,2,T02
MU8674_CL63_015,MU,MADONNA 8674 CL63 300X400 R,32,240,7510,XIVA,101,51238,48.0,М2,2025-10-05,10:03:55,STOREKEEPER3,ZARA,13.5,0,100001264734,3,T03
MU8674_CL63_016,MU,MADONNA 8674 CL63 300X500 R,32,240,7510,XIVA,101,52591,360.0,М2,2025-10-24,14:10:57,STOREKEEPER3,ZARA,16.88,0,100001276286,13,T13
MU8674_CL63_016,MU,MADONNA 8674 CL63 300X500 R,32,240,7510,XIVA,101,52222,180.0,М2,2025-10-21,06:38:36,STOREKEEPER3,ZARA,16.88,0,100001273228,3,T03
MU8674_CL63_016,MU,MADONNA 8674 CL63 300X500 R,32,240,7510,XIVA,101,51655,360.0,М2,2025-10-13,23:23:29,STOREKEEPER3,ZARA,16.88,0,100001268502,3,T03
MU8674_CL63_016,MU,MADONNA 8674 CL63 300X500 R,32,240,7510,XIVA,101,51727,30.0,М2,2025-10-12,19:58:29,STOREKEEPER3,ZARA,16.88,0,100001269073,13,T13
MU8674_CL63_016,MU,MADONNA 8674 CL63 300X500 R,32,240,7510,XIVA,101,51570,60.0,М2,2025-10-12,17:44:25,STOREKEEPER3,ZARA,16.88,0,100001267844,3,T03
MU8674_CL63_016,MU,MADONNA 8674 CL63 300X500 R,32,240,7510,XIVA,101,51141,150.0,М2,2025-10-06,23:52:00,STOREKEEPER3,ZARA,16.88,0,100001263947,2,T02
MU8674_CL63_016,MU,MADONNA 8674 CL63 300X500 R,32,240,7510,XIVA,101,51238,60.0,М2,2025-10-05,10:04:10,STOREKEEPER3,ZARA,16.88,0,100001264736,3,T03
MU8674_CL63_018,MU,MADONNA 8674 CL63 300X600 R,32,240,7510,XIVA,101,52598,432.0,М2,2025-10-25,10:45:07,STOREKEEPER3,ZARA,20.25,0,100001276337,13,T13
MU8674_CL63_018,MU,MADONNA 8674 CL63 300X600 R,32,240,7510,XIVA,101,52222,216.0,М2,2025-10-21,06:38:52,STOREKEEPER3,ZARA,20.25,0,100001273230,3,T03
MU8674_CL63_018,MU,MADONNA 8674 CL63 300X600 R,32,240,7510,XIVA,101,51653,252.0,М2,2025-10-13,10:35:36,STOREKEEPER3,ZARA,20.25,0,100001268500,3,T03
MU8674_CL63_018,MU,MADONNA 8674 CL63 300X600 R,32,240,7510,XIVA,101,51655,72.0,М2,2025-10-13,23:23:45,STOREKEEPER3,ZARA,20.25,0,100001268504,3,T03
MU8674_CL63_018,MU,MADONNA 8674 CL63 300X600 R,32,240,7510,XIVA,101,51142,72.0,М2,2025-10-07,19:10:18,STOREKEEPER3,ZARA,20.25,0,100001263951,2,T02
