data,zavod,stanok,pikseli
2024-03-01 00:00:00,ANTP,T05,2890772
2024-03-01 00:00:00,ANTP,T06,3781018
2024-03-01 00:00:00,ANTP,T07,2805400
2024-03-01 00:00:00,ANTP,T08,4934560
2024-03-01 00:00:00,ANTP,T09,3945212
2024-03-01 00:00:00,ANTP,T10,4309874
2024-03-01 00:00:00,ANTP,T11,3874600
2024-03-01 00:00:00,ANTP,T12,1807902
2024-03-01 00:00:00,ANTP,T13,758284
2024-03-01 00:00:00,ANTP,T14,3026752
2024-03-01 00:00:00,ANTP,T15,3195600
2024-03-01 00:00:00,ANTP,T16,2416393
2024-03-01 00:00:00,ANTP,T17,3911908
2024-03-01 00:00:00,ANTP,T18,1502273
2024-03-01 00:00:00,ANTP,T19,3598794
2024-03-01 00:00:00,ANTP,T20,4231182
2024-03-01 00:00:00,ANTP,T21,3222348
2024-03-01 00:00:00,ANTP,T22,4578435
2024-03-01 00:00:00,ANTP,T23,2029615
2024-03-01 00:00:00,ANTP,T24,2670538
2024-03-01 00:00:00,ANTP,T25,2779376
2024-03-01 00:00:00,ANTP,T26,1444493
2024-03-01 00:00:00,ANTP,T27,0
2024-03-01 00:00:00,ANTP,T28,4319234
2024-03-01 00:00:00,ANTP,T29,2423606
2024-03-01 00:00:00,ANTP,T30,1762634
2024-03-01 00:00:00,ANTP,T31,4202563
2024-03-01 00:00:00,ANTP,T32,3699200
2024-03-01 00:00:00,ANTP,T33,3406900
2024-03-01 00:00:00,ANTP,T34,2282710
2024-03-01 00:00:00,ANTP,T35,2605759
2024-03-01 00:00:00,XIVA,T01,2896438
2024-03-01 00:00:00,XIVA,T02,3429978
2024-03-01 00:00:00,XIVA,T03,3425960
2024-03-01 00:00:00,XIVA,T04,3460143
2024-03-01 00:00:00,XIVA,T05,3360587
2024-03-01 00:00:00,XIVA,T06,2875134
2024-03-01 00:00:00,XIVA,T07,2758591
2024-03-01 00:00:00,XIVA,T08,4169892
2024-03-01 00:00:00,XIVA,T09,3962938
2024-03-01 00:00:00,XIVA,T10,4341094
2024-03-01 00:00:00,XIVA,T11,3663057
2024-03-01 00:00:00,XIVA,T12,4226255
2024-03-01 00:00:00,XIVA,T13,2652605
2024-03-01 00:00:00,XIVA,T14,3709441
2024-03-01 00:00:00,XIVA,T15,5142914
2024-03-01 00:00:00,XIVA,T16,0
2024-03-01 00:00:00,XIVA,T17,0
2024-03-01 00:00:00,XIVA,T18,0
2024-03-01 00:00:00,XIVA,T19,0
2024-04-01 00:00:00,ANTP,T01,2609963
2024-04-01 00:00:00,ANTP,T02,3923425
2024-04-01 00:00:00,ANTP,T03,3810322
2024-04-01 00:00:00,ANTP,T04,2152135
2024-04-01 00:00:00,ANTP,T05,3164519
2024-04-01 00:00:00,ANTP,T06,3982309
2024-04-01 00:00:00,ANTP,T07,589800
2024-04-01 00:00:00,ANTP,T08,4492159
2024-04-01 00:00:00,ANTP,T09,3222308
2024-04-01 00:00:00,ANTP,T10,3657599
2024-04-01 00:00:00,ANTP,T11,2903600
2024-04-01 00:00:00,ANTP,T12,496047
2024-04-01 00:00:00,ANTP,T13,1090126
2024-04-01 00:00:00,ANTP,T14,3308877
2024-04-01 00:00:00,ANTP,T15,3579598
2024-04-01 00:00:00,ANTP,T16,2724174
2024-04-01 00:00:00,ANTP,T17,3359947
2024-04-01 00:00:00,ANTP,T18,1765772
2024-04-01 00:00:00,ANTP,T19,3080825
2024-04-01 00:00:00,ANTP,T20,3340409
2024-04-01 00:00:00,ANTP,T21,2878044
2024-04-01 00:00:00,ANTP,T22,4853068
2024-04-01 00:00:00,ANTP,T23,375594
2024-04-01 00:00:00,ANTP,T24,1982924
2024-04-01 00:00:00,ANTP,T25,2246785
2024-04-01 00:00:00,ANTP,T26,1671787
2024-04-01 00:00:00,ANTP,T27,1304890
2024-04-01 00:00:00,ANTP,T28,3039153
2024-04-01 00:00:00,ANTP,T29,2130529
2024-04-01 00:00:00,ANTP,T30,1807471
2024-04-01 00:00:00,ANTP,T31,4282469
2024-04-01 00:00:00,ANTP,T32,2754750
2024-04-01 00:00:00,ANTP,T33,3520273
2024-04-01 00:00:00,ANTP,T34,1882320
2024-04-01 00:00:00,ANTP,T35,2414399
2024-04-01 00:00:00,XIVA,T01,2418445
2024-04-01 00:00:00,XIVA,T02,960664
2024-04-01 00:00:00,XIVA,T03,3128938
2024-04-01 00:00:00,XIVA,T04,1113698
2024-04-01 00:00:00,XIVA,T05,1116617
2024-04-01 00:00:00,XIVA,T06,2539429
2024-04-01 00:00:00,XIVA,T07,897987
2024-04-01 00:00:00,XIVA,T08,3410565
2024-04-01 00:00:00,XIVA,T09,3719773
2024-04-01 00:00:00,XIVA,T10,3974595
2024-04-01 00:00:00,XIVA,T11,2895093
2024-04-01 00:00:00,XIVA,T12,3767838
2024-04-01 00:00:00,XIVA,T13,942535
2024-04-01 00:00:00,XIVA,T14,3368079
2024-04-01 00:00:00,XIVA,T15,4604318
2024-04-01 00:00:00,XIVA,T16,0
2024-04-01 00:00:00,XIVA,T17,0
2024-04-01 00:00:00,XIVA,T18,0
2024-04-01 00:00:00,XIVA,T19,0
2024-05-01 00:00:00,ANTP,T01,4214406
2024-05-01 00:00:00,ANTP,T02,4367200
2024-05-01 00:00:00,ANTP,T03,3992372
2024-05-01 00:00:00,ANTP,T04,1155264
2024-05-01 00:00:00,ANTP,T05,3045787
2024-05-01 00:00:00,ANTP,T06,4276509
2024-05-01 00:00:00,ANTP,T07,1292322
2024-05-01 00:00:00,ANTP,T08,4822189
2024-05-01 00:00:00,ANTP,T09,4033478
2024-05-01 00:00:00,ANTP,T10,3712280
2024-05-01 00:00:00,ANTP,T11,4350850
2024-05-01 00:00:00,ANTP,T12,4078404
2024-05-01 00:00:00,ANTP,T13,726464
2024-05-01 00:00:00,ANTP,T14,3395724
2024-05-01 00:00:00,ANTP,T15,3403376
2024-05-01 00:00:00,ANTP,T16,3991143
2024-05-01 00:00:00,ANTP,T17,2190789
2024-05-01 00:00:00,ANTP,T18,1261523
2024-05-01 00:00:00,ANTP,T19,2205025
2024-05-01 00:00:00,ANTP,T20,4628154
2024-05-01 00:00:00,ANTP,T21,3357383
2024-05-01 00:00:00,ANTP,T22,5195828
2024-05-01 00:00:00,ANTP,T23,0
2024-05-01 00:00:00,ANTP,T24,2028641
2024-05-01 00:00:00,ANTP,T25,2086033
2024-05-01 00:00:00,ANTP,T26,1964637
2024-05-01 00:00:00,ANTP,T27,2361103
2024-05-01 00:00:00,ANTP,T28,3923502
2024-05-01 00:00:00,ANTP,T29,2059819
2024-05-01 00:00:00,ANTP,T30,1578013
2024-05-01 00:00:00,ANTP,T31,4742115
2024-05-01 00:00:00,ANTP,T32,3453400
2024-05-01 00:00:00,ANTP,T33,1533376
2024-05-01 00:00:00,ANTP,T34,1987995
2024-05-01 00:00:00,ANTP,T35,2414817
2024-05-01 00:00:00,XIVA,T01,2742456
2024-05-01 00:00:00,XIVA,T02,3136506
2024-05-01 00:00:00,XIVA,T03,2972352
2024-05-01 00:00:00,XIVA,T04,3437634
2024-05-01 00:00:00,XIVA,T05,3624543
2024-05-01 00:00:00,XIVA,T06,2656141
2024-05-01 00:00:00,XIVA,T07,2933985
2024-05-01 00:00:00,XIVA,T08,3669507
2024-05-01 00:00:00,XIVA,T09,4174989
2024-05-01 00:00:00,XIVA,T10,3797832
2024-05-01 00:00:00,XIVA,T11,3435582
2024-05-01 00:00:00,XIVA,T12,4242340
2024-05-01 00:00:00,XIVA,T13,3534482
2024-05-01 00:00:00,XIVA,T14,3345957
2024-05-01 00:00:00,XIVA,T15,5069372
2024-05-01 00:00:00,XIVA,T16,230845
2024-05-01 00:00:00,XIVA,T17,0
2024-05-01 00:00:00,XIVA,T18,0
2024-05-01 00:00:00,XIVA,T19,0
2024-06-01 00:00:00,ANTP,T01,3288557
2024-06-01 00:00:00,ANTP,T02,3569699
2024-06-01 00:00:00,ANTP,T03,3999812
2024-06-01 00:00:00,ANTP,T04,2425633
2024-06-01 00:00:00,ANTP,T05,2354323
2024-06-01 00:00:00,ANTP,T06,2273935
2024-06-01 00:00:00,ANTP,T07,1649100
2024-06-01 00:00:00,ANTP,T08,3869700
2024-06-01 00:00:00,ANTP,T09,2659279
2024-06-01 00:00:00,ANTP,T10,3127619
2024-06-01 00:00:00,ANTP,T11,2777050
2024-06-01 00:00:00,ANTP,T12,3556300
2024-06-01 00:00:00,ANTP,T13,563569
2024-06-01 00:00:00,ANTP,T14,2785343
2024-06-01 00:00:00,ANTP,T15,2837202
2024-06-01 00:00:00,ANTP,T16,2329306
2024-06-01 00:00:00,ANTP,T17,3064919
2024-06-01 00:00:00,ANTP,T18,546428
2024-06-01 00:00:00,ANTP,T19,3377308
2024-06-01 00:00:00,ANTP,T20,2969432
2024-06-01 00:00:00,ANTP,T21,3179989
2024-06-01 00:00:00,ANTP,T22,4001521
2024-06-01 00:00:00,ANTP,T23,0
2024-06-01 00:00:00,ANTP,T24,1003103
2024-06-01 00:00:00,ANTP,T25,1911710
2024-06-01 00:00:00,ANTP,T26,1761433
2024-06-01 00:00:00,ANTP,T27,1952436
2024-06-01 00:00:00,ANTP,T28,3583590
2024-06-01 00:00:00,ANTP,T29,2054406
2024-06-01 00:00:00,ANTP,T30,1679502
2024-06-01 00:00:00,ANTP,T31,4122919
2024-06-01 00:00:00,ANTP,T32,2767185
2024-06-01 00:00:00,ANTP,T33,595958
2024-06-01 00:00:00,ANTP,T34,1687154
2024-06-01 00:00:00,ANTP,T35,2104658
2024-06-01 00:00:00,XIVA,T01,2465713
2024-06-01 00:00:00,XIVA,T02,2654344
2024-06-01 00:00:00,XIVA,T03,2707670
2024-06-01 00:00:00,XIVA,T04,2856185
2024-06-01 00:00:00,XIVA,T05,3010165
2024-06-01 00:00:00,XIVA,T06,2548479
2024-06-01 00:00:00,XIVA,T07,2432620
2024-06-01 00:00:00,XIVA,T08,3305501
2024-06-01 00:00:00,XIVA,T09,3541720
2024-06-01 00:00:00,XIVA,T10,3599892
2024-06-01 00:00:00,XIVA,T11,2975290
2024-06-01 00:00:00,XIVA,T12,3732023
2024-06-01 00:00:00,XIVA,T13,2648020
2024-06-01 00:00:00,XIVA,T14,2889562
2024-06-01 00:00:00,XIVA,T15,4524918
2024-06-01 00:00:00,XIVA,T16,3572914
2024-06-01 00:00:00,XIVA,T17,2473503
2024-06-01 00:00:00,XIVA,T18,195526
2024-06-01 00:00:00,XIVA,T19,0
2024-07-01 00:00:00,ANTP,T01,3512853
2024-07-01 00:00:00,ANTP,T02,4386609
2024-07-01 00:00:00,ANTP,T03,3352882
2024-07-01 00:00:00,ANTP,T04,2637422
2024-07-01 00:00:00,ANTP,T05,3025983
2024-07-01 00:00:00,ANTP,T06,1426171
2024-07-01 00:00:00,ANTP,T07,2370400
2024-07-01 00:00:00,ANTP,T08,4104556
2024-07-01 00:00:00,ANTP,T09,2838763
2024-07-01 00:00:00,ANTP,T10,3600483
2024-07-01 00:00:00,ANTP,T11,3579400
2024-07-01 00:00:00,ANTP,T12,4003793
2024-07-01 00:00:00,ANTP,T13,369864
2024-07-01 00:00:00,ANTP,T14,3009302
2024-07-01 00:00:00,ANTP,T15,1202298
2024-07-01 00:00:00,ANTP,T16,1097053
2024-07-01 00:00:00,ANTP,T17,3576153
2024-07-01 00:00:00,ANTP,T18,1326200
2024-07-01 00:00:00,ANTP,T19,4441901
2024-07-01 00:00:00,ANTP,T20,2990411
2024-07-01 00:00:00,ANTP,T21,2954936
2024-07-01 00:00:00,ANTP,T22,3764817
2024-07-01 00:00:00,ANTP,T23,17615
2024-07-01 00:00:00,ANTP,T24,1773658
2024-07-01 00:00:00,ANTP,T25,900471
2024-07-01 00:00:00,ANTP,T26,2120381
2024-07-01 00:00:00,ANTP,T27,2136766
2024-07-01 00:00:00,ANTP,T28,3245654
2024-07-01 00:00:00,ANTP,T29,1603075
2024-07-01 00:00:00,ANTP,T30,1969782
2024-07-01 00:00:00,ANTP,T31,4394733
2024-07-01 00:00:00,ANTP,T32,2628600
2024-07-01 00:00:00,ANTP,T33,3752621
2024-07-01 00:00:00,ANTP,T34,2353401
2024-07-01 00:00:00,ANTP,T35,2574611
2024-07-01 00:00:00,XIVA,T01,2244191
2024-07-01 00:00:00,XIVA,T02,2827936
2024-07-01 00:00:00,XIVA,T03,3211015
2024-07-01 00:00:00,XIVA,T04,3086589
2024-07-01 00:00:00,XIVA,T05,3311086
