Серия,Имя коллекции,Имя коллекции.1,Бедро,Размер,Ширина,Длина,Тип изделия,Цвет,ID (на сайте),Склад,Склад.1,Себестоимость,Начальный остаток,Приход,Расход,Конечный остаток,Начальный остаток м2,Приход м2,Расход м2,Конечный остаток м2
13995321,IRANI,IRANI,48,300X500,300,500,Прямоугольник,78,NK4808_DE78_016,Magazin Nukus,Магазин Нукус,195.0,1.0,,,1.0,15.0,,,15.0
14126956,IRANI,IRANI,48,75X125,75,125,Прямоугольник,41,NK6929_DE41_045,SamExpress Gelion,Магазин Самарканд (Гелион),85.33,7.0,,,7.0,6.566,,,6.566
14126954,IRANI,IRANI,48,75X125,75,125,Прямоугольник,72,NK9575_DE72_045,SamExpress Gelion,Магазин Самарканд (Гелион),109.71,9.0,,,9.0,8.442,,,8.442
14146642,IRANI,IRANI,48,75X125,75,125,Прямоугольник,72,NK9575_DE72_045,SamExpress Gelion,Магазин Самарканд (Гелион),121.9,10.0,,,10.0,9.38,,,9.38
14146643,IRANI,IRANI,48,75X125,75,125,Прямоугольник,88,NK9575_DE88_045,SamExpress Gelion,Магазин Самарканд (Гелион),121.9,10.0,,,10.0,9.38,,,9.38
14152387,IRANI,IRANI,48,75X125,75,125,Прямоугольник,88,NK9575_DE88_045,SamExpress Gelion,Магазин Самарканд (Гелион),121.9,10.0,,,10.0,9.38,,,9.38
14052606,IRANI,IRANI,48,400X2500,400,2500,Метражный,21,NK9972_DE21_104,Magazin Urganch,Магазин Урганч,6.72,0.14,,,0.14,0.56,,,0.56
14052644,IRANI,IRANI,48,400X2500,400,2500,Метражный,21,NK9972_DE21_104,Magazin Urganch,Магазин Урганч,201.6,4.2,,,4.2,16.8,,,16.8
14088980,IRANI,IRANI,48,400X2500,400,2500,Метражный,21,NK9972_DE21_104,SamExpress1,Магазин Самарканд,20.8,0.4,,,0.4,1.6,,,1.6
14089282,IRANI,IRANI,48,400X2500,400,2500,Метражный,21,NK9972_DE21_104,SamExpress1,Магазин Самарканд,60.84,1.17,,,1.17,4.68,,,4.68
14135757,IRANI,IRANI,48,400X2500,400,2500,Метражный,21,NK9972_DE21_104,Magazin Nukus,Магазин Нукус,98.8,1.9,,,1.9,7.6,,,7.6
14135762,IRANI,IRANI,48,400X2500,400,2500,Метражный,21,NK9972_DE21_104,Magazin Nukus,Магазин Нукус,32.24,0.62,,,0.62,2.48,,,2.48
14209344,IRANI,IRANI,48,400X2500,400,2500,Метражный,21,NK9972_DE21_104,SamExpress1,Магазин Самарканд,158.6,3.05,,,3.05,12.2,,,12.2
14209452,IRANI,IRANI,48,400X2500,400,2500,Метражный,21,NK9972_DE21_104,SamExpress1,Магазин Самарканд,67.6,1.3,,,1.3,5.2,,,5.2
14230560,IRANI,IRANI,48,400X2500,400,2500,Метражный,21,NK9972_DE21_104,Magazin Xiva,Магазин Хива,158.6,3.05,,,3.05,12.2,,,12.2
14141992,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,SamExpress1,Магазин Самарканд,25.2,0.7,,,0.7,2.1,,,2.1
14252934,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,Magazin Urganch,Магазин Урганч,149.4,4.15,,,4.15,12.45,,,12.45
14255427,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,Magazin Nukus,Магазин Нукус,42.9,1.1,,,1.1,3.3,,,3.3
14261746,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,SamExpress1,Магазин Самарканд,4.76,0.122,,,0.122,0.366,,,0.366
14262639,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,SamExpress1,Магазин Самарканд,23.4,0.6,,,0.6,1.8,,,1.8
14322327,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,SamExpress1,Магазин Самарканд,58.5,1.5,,,1.5,4.5,,,4.5
14353180,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,SamExpress1,Магазин Самарканд,336.18,8.62,,,8.62,25.86,,,25.86
14356900,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,Magazin Nukus,Магазин Нукус,47.58,1.22,,,1.22,3.66,,,3.66
14386015,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,Magazin Xiva,Магазин Хива,967.2,24.8,,,24.8,74.4,,,74.4
14386050,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,Magazin Xiva,Магазин Хива,975.0,25.0,,,25.0,75.0,,,75.0
14388516,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,SamExpress1,Магазин Самарканд,93.99,2.41,,,2.41,7.23,,,7.23
14388539,IRANI,IRANI,48,300X2500,300,2500,Метражный,21,NK9972_DE21_105,SamExpress1,Магазин Самарканд,133.77,3.43,,,3.43,10.29,,,10.29
14052605,IRANI,IRANI,48,350X2500,350,2500,Метражный,21,NK9972_DE21_188,Magazin Urganch,Магазин Урганч,216.3,5.15,,,5.15,18.025,,,18.025
14052642,IRANI,IRANI,48,350X2500,350,2500,Метражный,21,NK9972_DE21_188,Magazin Urganch,Магазин Урганч,130.2,3.1,,,3.1,10.85,,,10.85
14094564,IRANI,IRANI,48,350X2500,350,2500,Метражный,21,NK9972_DE21_188,SamExpress1,Магазин Самарканд,22.48,0.494,,,0.494,1.729,,,1.729
14094571,IRANI,IRANI,48,350X2500,350,2500,Метражный,21,NK9972_DE21_188,SamExpress1,Магазин Самарканд,55.97,1.23,,,1.23,4.305,,,4.305
14138622,IRANI,IRANI,48,350X2500,350,2500,Метражный,21,NK9972_DE21_188,Magazin Nukus,Магазин Нукус,65.07,1.43,,,1.43,5.005,,,5.005
14161213,IRANI,IRANI,48,350X2500,350,2500,Метражный,21,NK9972_DE21_188,Magazin Urganch 2,Магазин Урганч,372.96,8.88,,,8.88,31.08,,,31.08
14161359,IRANI,IRANI,48,350X2500,350,2500,Метражный,21,NK9972_DE21_188,Magazin Urganch,Магазин Урганч,207.9,4.95,,,4.95,17.325,,,17.325
14084167,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9972_DE22_104,Magazin Toshkent (Sergeli),Магазин Тошкент (Сергели),192.4,3.7,,,3.7,14.8,,,14.8
14252937,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9972_DE22_105,Magazin Toshkent (Qushbegi),Магазин Тошкент (Кушбеги),990.6,25.4,,,25.4,76.2,,,76.2
14088979,IRANI,IRANI,48,350X2500,350,2500,Метражный,22,NK9972_DE22_188,Magazin Toshkent (Sergeli),Магазин Тошкент (Сергели),360.36,7.92,,,7.92,27.72,,,27.72
14052610,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Urganch,Магазин Урганч,90.72,1.89,,,1.89,7.56,,,7.56
14052647,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Urganch 2,Магазин Урганч,246.24,5.13,,,5.13,20.52,,,20.52
14088982,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,SamExpress1,Магазин Самарканд,38.48,0.74,,,0.74,2.96,,,2.96
14089281,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,SamExpress1,Магазин Самарканд,10.4,0.2,,,0.2,0.8,,,0.8
14135759,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Nukus,Магазин Нукус,263.12,5.06,,,5.06,20.24,,,20.24
14135764,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Nukus,Магазин Нукус,114.92,2.21,,,2.21,8.84,,,8.84
14158472,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Urganch,Магазин Урганч,187.2,3.9,,,3.9,15.6,,,15.6
14158586,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Urganch,Магазин Урганч,160.8,3.35,,,3.35,13.4,,,13.4
14230432,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Xiva,Магазин Хива,167.44,3.22,,,3.22,12.88,,,12.88
14230564,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Urganch,Магазин Урганч,351.52,6.76,,,6.76,27.04,,,27.04
14497157,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Nukus,Магазин Нукус,1037.4,25.4,,5.45,19.95,101.6,,21.8,79.8
14497182,IRANI,IRANI,48,400X2500,400,2500,Метражный,22,NK9973_DE22_104,Magazin Nukus,Магазин Нукус,1315.6,25.3,,,25.3,101.2,,,101.2
14252933,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,Magazin Urganch 2,Магазин Урганч,272.16,7.56,,,7.56,22.68,,,22.68
14252938,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,Magazin Urganch,Магазин Урганч,208.8,5.8,,,5.8,17.4,,,17.4
14255426,IRANI,IRANI,48,300X2500,300,2500,Метражный,22,NK9973_DE22_105,Magazin Nukus,Магазин Нукус,203.97,5.23,,,5.23,15.69,,,15.69
